status,duration,credit_history,purpose,credit_amount,saving_accounts,employment,investment_as_income_percentage,Personal status and sex,debtors,residence,property,age,installment_plans,housing,number_of_credits,job,dependent,telephone,foreign_worker
...<0 DM,6,Critical,radio/television,1169,unknown/ no savings account,7+,4,male:single,none,4,real estate,67,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,48,Existing Credits,radio/television,5951,... < 100 DM,4,2,female:divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee/official,1,none,yes
no checking account,12,Critical,education,2096,... < 100 DM,7,2,male:single,none,3,real estate,49,none,own,1,unskilled-resident,2,none,yes
...<0 DM,42,Existing Credits,furniture/equipment,7882,... < 100 DM,7,2,male:single,guarantor,4,life insurance,45,none,free,1,skilled employee/official,2,none,yes
...<0 DM,24,Delay in Past,new car,4870,... < 100 DM,4,3,male:single,none,4,no property,53,none,free,2,skilled employee/official,2,none,yes
no checking account,36,Existing Credits,education,9055,unknown/ no savings account,4,2,male:single,none,4,no property,35,none,free,1,unskilled-resident,2,yes,yes
no checking account,24,Existing Credits,furniture/equipment,2835,500 <= ... < 1000 DM,7+,3,male:single,none,4,life insurance,53,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,36,Existing Credits,used car,6948,... < 100 DM,4,2,male:single,none,2,car or other,35,none,rent,1,highly skilled,1,yes,yes
no checking account,12,Existing Credits,radio/television,3059,.. >= 1000 DM,7,2,male:divorced/separated,none,4,real estate,61,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,30,Critical,new car,5234,... < 100 DM,unemployed,4,male:married/widowed,none,2,car or other,28,none,own,2,highly skilled,1,none,yes
0 <= ...<200 DM,12,Existing Credits,new car,1295,... < 100 DM,1,3,female:divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,48,Existing Credits,business,4308,... < 100 DM,1,3,female:divorced/separated/married,none,4,life insurance,24,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,1567,... < 100 DM,4,1,female:divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,24,Critical,new car,1199,... < 100 DM,7+,4,male:single,none,4,car or other,60,none,own,2,unskilled-resident,1,none,yes
